adx_min,rsi_buy,rsi_sell,atr_mult_sl,trades,win_rate,profit_factor,cagr,max_drawdown,sharpe,sortino,final_equity
36,38,82,9.41,64,0.3125,0.8339649917766863,,-0.02528998059653297,-1.2436072379520957,-4.6769341550071,0.986836925328433
36,38,90,9.41,64,0.3125,0.8339649917766863,,-0.02528998059653297,-1.2436072379520957,-4.6769341550071,0.986836925328433
36,38,75,9.41,64,0.3125,0.8339649917766863,,-0.02528998059653297,-1.2436072379520957,-4.6769341550071,0.986836925328433
36,38,74,9.41,64,0.3125,0.8339649917766863,,-0.02528998059653297,-1.2436072379520957,-4.6769341550071,0.986836925328433
36,38,74,8.55,64,0.3125,0.8339649917766859,,-0.027806684536855343,-1.2436072379520962,-4.6769341550071015,0.9854992335433839
36,38,75,8.55,64,0.3125,0.8339649917766859,,-0.027806684536855343,-1.2436072379520962,-4.6769341550071015,0.9854992335433839
36,38,90,8.55,64,0.3125,0.8339649917766859,,-0.027806684536855343,-1.2436072379520962,-4.6769341550071015,0.9854992335433839
36,38,82,8.55,64,0.3125,0.8339649917766859,,-0.027806684536855343,-1.2436072379520962,-4.6769341550071015,0.9854992335433839
33,38,82,9.41,66,0.3181818181818182,0.8190387164233305,,-0.02678515563305907,-1.3581900007369392,-5.090156983767518,0.9854063323011001
33,38,90,9.41,66,0.3181818181818182,0.8190387164233305,,-0.02678515563305907,-1.3581900007369392,-5.090156983767518,0.9854063323011001
33,38,75,9.41,66,0.3181818181818182,0.8190387164233305,,-0.02678515563305907,-1.3581900007369392,-5.090156983767518,0.9854063323011001
33,38,74,9.41,66,0.3181818181818182,0.8190387164233305,,-0.02678515563305907,-1.3581900007369392,-5.090156983767518,0.9854063323011001
33,35,74,9.41,60,0.31666666666666665,0.7942814300282024,,-0.02534418248254095,-1.5902898405106407,-5.96773300502983,0.9847168776511311
33,35,75,9.41,60,0.31666666666666665,0.7942814300282024,,-0.02534418248254095,-1.5902898405106407,-5.96773300502983,0.9847168776511311
33,35,90,9.41,60,0.31666666666666665,0.7942814300282024,,-0.02534418248254095,-1.5902898405106407,-5.96773300502983,0.9847168776511311
33,35,82,9.41,60,0.31666666666666665,0.7942814300282024,,-0.02534418248254095,-1.5902898405106407,-5.96773300502983,0.9847168776511311
